artist,song,lyrics,url
bruce springsteen,my city of ruins,"There's a blood red circle
On the cold dark ground
And the rain is falling down
The church door's thrown open
I can hear the organ's song
But the congregation's gone
My city of ruins
My city of ruins
Now the sweet bells of mercy
Drift through the evening trees
Young men on the corner
Like scattered leaves
The boarded up windows
The empty streets
While my brother's down on his knees
My city of ruins
My city of ruins
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Now there's tears on the pillow
Darlin' where we slept
And you took my heart when you left
Without your sweet kiss
My soul is lost, my friend
Tell me how do I begin again?
My city's in ruins
My city's in ruins
Now with these hands
With these hands
With these hands
With these hands, I pray Lord
With these hands
With these hands
I pray for the strength Lord
With these hands
With these hands
I pray for the faith, Lord
With these hands
With these hands
I pray for your love, Lord
With these hands
With these hands
I pray for the strength, Lord
With these hands
With these hands
I pray for your love, Lord
With these hands
With these hands
I pray for your faith, Lord
With these hands
With these hands
I pray for the strength, Lord
With these hands
With these hands
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up
Come on, rise up",,
bruce springsteen,this land is your land,"Well I rode that ribbon highway
I saw above me the endless sky
I saw below me the golden valley
This land was made for you and me
I've roamed and rambled and followed my footsteps
Through the sparkling sands of her diamond deserts
And all around me a voice was calling
This land was made for you and me
This land is your land
This land is my land
From California
To the New York island
From the Redwood Forest
To the Gulf Stream waters
This land was made for you and me
Well the sun came shining and I was strolling
Through wheat fields waving and dust clouds rolling
And a voice was sounding
As the fog was lifting
Saying this land was made for you and me",,
bruce springsteen,jungleland,"The Rangers had a homecoming
In Harlem late last night
And the Magic Rat drove his sleek machine
Over the Jersey state line
Barefoot girl sitting on the hood of a Dodge
Drinking warm beer in the soft summer rain
The Rat pulls into town, rolls up his pants
Together they take a stab at romance
And disappear down Flamingo Lane
Well, the Maximum Lawmen run down Flamingo
Chasing the Rat and the barefoot girl
And the kids 'round there live just like shadows
Always quiet, holding hands
From the churches to the jails
Tonight all is silence in the world
As we take our stand
Down in Jungleland
The midnight gang's assembled
And picked a rendezvous for the night
They'll meet 'neath that giant Exxon sign
That brings this fair city light
Man, there's an opera out on the Turnpike
There's a ballet being fought out in the alley
Until the local cops, Cherry-Tops, rips this holy night
The street's alive as secret debts are paid
Contacts made, they flash unseen
Kids flash guitars just like switchblades
Hustling for the record machine
The hungry and the hunted
Explode into rock 'n' roll bands
That face off against each other out in the street
Down in Jungleland
In the parking lot the visionaries dress in the latest rage
Inside the backstreet girls are dancing
To the records that the DJ plays
Lonely-hearted lovers struggle in dark corners
Desperate as the night moves on
Just one look and a whisper, and they're gone
Beneath the city, two hearts beat
Soul engines running through a night so tender
In a bedroom locked in whispers
Of soft refusal and then surrender
In the tunnels uptown, the Rat's own dream guns him down
As shots echo down them hallways in the night
No one watches when the ambulance pulls away
Or as the girl shuts out the bedroom light
Outside the street's on fire in a real death waltz
Between what's flesh and what's fantasy
And the poets down here don't write nothing at all
They just stand back and let it all be
And in the quick of a knife, they reach for their moment
And try to make an honest stand
But they wind up wounded, not even dead
Tonight in Jungleland",,
bruce springsteen,tunnel of love,"Fat man sitting on a little stool
Takes the money from my hand while his eyes take a walk all over you
Hands me the ticket, smiles and whispers good luck
Cuddle up angel, cuddle up my little dove
We'll ride down, baby, into this tunnel of love
Well, I can feel the soft silk of your blouse
And them soft thrills in our little fun house
Then the lights go out and it's just the three of us, yeah
You, me and all that stuff we're so scared of
Gotta ride down baby into this tunnel of love
Well, there's a crazy mirror showing us both in five D
I'm laughing at you you're laughing at me
There's a room of shadows that gets so dark brother
It's easy for two people to lose each other in this tunnel of love
Well, it ought to be easy ought to be simple enough, yeah
Man meets woman and they fall in love
But the house is haunted and the ride gets rough
And you've got to learn to live with what you can't rise above
If you want to ride on down, down in through this tunnel of love
Tunnel of love
This tunnel of love
This tunnel of love",,
bruce springsteen,glory days,"I had a friend was a big baseball player
Back in high school
He could throw that speed ball by you
Make you look like a fool boy
Saw him the other night at this roadside bar
I was walking in, he was walking out
We went back inside sat down had a few drinks
But all he kept talking about was
Glory days, well they'll pass you by
Glory days, in the wink of a young girl's eye
Glory days, glory days
Well there's a girl that lives up the block
Back in school she could turn all the boy's heads
Sometimes on a Friday I'll stop by
And have a few drinks after she put her kids to bed
Her and her husband Bobby, well they split up
I guess it's two years gone by now
We just sit around talking about the old times,
She says when she feels like crying
She starts laughing thinking about
Glory days well they'll pass you by
Glory days in the wink of a young girl's eye
Glory days, glory days
I think I'm going down to the well tonight
And I'm going to drink till I get my fill
And I hope when I get old I don't sit around thinking about it
But I probably will
Yeah, just sitting back trying to recapture
A little of the glory of, well time slips away
And leaves you with nothing mister but
Boring stories of glory days
Glory days well they'll pass you by
Glory days in the wink of a young girl's eye
Glory days, glory days
Well they'll pass you by
Glory days in the wink of a young girl's eye
Glory days, glory days
Well alright oo yeah
Well alright come on now
Well alright oo yeah
Well alright come on now
With you, with you, with you, with you
All right boys keep it rocking now
Keep on going, we gonna go home now
Bring it home, yeah bring it home
Alright, alright, well alright, well alright, well alright, well alright
Well alright, alright, alright, let's go",,
bruce springsteen,the river,"I come from down in the valley
Where mister when you're young
They bring you up to do like your daddy done
Me and Mary we met in high school
When she was just seventeen
We'd ride out of this valley down to where the fields were green
We'd go down to the river
And into the river we'd dive
Oh down to the river we'd ride
Then I got Mary pregnant
And man that was all she wrote
And for my nineteenth birthday I got a union card and a wedding coat
We went down to the courthouse
And the judge put it all to rest
No wedding day smiles no walk down the aisle
No flowers no wedding dress
That night we went down to the river
And into the river we'd dive
Oh down to the river we did ride
I got a job working construction for the Johnstown Company
But lately there ain't been much work on account of the economy
Now all them things that seemed so important
Well mister they vanished right into the air
Now I just act like I don't remember
Mary acts like she don't care",,
bruce springsteen,the rising,"Can't see nothin' in front of me
Can't see nothin' coming up behind
Make my way through this darkness
I can't feel nothing but this chain that binds me
Lost track of how far I've gone
How far I've gone, how high I've climbed
On my back's a sixty pound stone
On my shoulder a half mile of line
Come on up for the rising
Come on up, lay your hands in mine
Come on up for the rising
Come on up for the rising tonight
Left the house this morning
Bells ringing filled the air
I was wearin' the cross of my calling
On wheels of fire I come rollin' down here
Come on up for the rising
Come on up, lay your hands in mine
Come on up for the rising
Come on up for the rising tonight
Li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li
There's spirits above and behind me
Faces gone black, eyes burnin' bright
May their precious blood bind me
Lord, as I stand before your fiery light
Li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li
I see you Mary in the garden
In the garden of a thousand sighs
There's holy pictures of our children
Dancin' in a sky filled with light
May I feel your arms around me
May I feel your blood mix with mine
A dream of life comes to me
Like a catfish dancin' on the end of my line
Sky of blackness and sorrow (a dream of life)
Sky of love, sky of tears (a dream of life)
Sky of glory and sadness (a dream of life)
Sky of mercy, sky of fear (a dream of life)
Sky of memory and shadow (a dream of life)
Your burnin' wind fills my arms tonight
Sky of longing and emptiness (a dream of life)
Sky of fullness, sky of blessed life
Come on up for the rising
Come on up, lay your hands in mine
Come on up for the rising
Come on up for the rising tonight
Li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li, li",,
bruce springsteen,incident on 57th street,"Spanish Johnny drove in from the underworld last night
With bruised arms and broken rhythm and a beat-up old Buick but dressed just like dynamite
He tried sellin' his heart to the hard girls over on easy Street
But they said, Johnny, it falls apart so easy, and you know hearts these days are cheap
And the pimps swung their axes and said, Johnny, you're a cheater
And the pimps swung their axes and said, Johnny, you're a liar
And from out of the shadows came a young girl's voice
Said, Johnny, don't cry
Puerto Rican Jane, oh, won't you tell me, what's your name?
I want to drive you down to the other side of town
Where paradise ain't so crowded and there'll be action goin' down on Shanty Lane tonight
All the golden-heeled fairies in a real bitch-fight
Pull thirty-eight's and kiss their girls goodnight
Oh, goodnight, it's alright, Jane
Now let them black boys in to light the soul flame
We may find it out on the street tonight, baby
Or we may walk until the daylight, maybe
Well, like a cool Romeo he made his moves, oh, she looked so fine
Like a late Juliet, she knew she'd never be true but then, she really didn't mind
Upstairs a band was playin' and the singer was singin' something about going home
She whispered, Spanish Johnny, you can leave me tonight, but just don't leave me alone
And Johnny cried, Puerto Rican Jane, word is down, the cops have found the vein
Oh, them barefoot boys left their homes for the woods
Them little barefoot street boys, they said their homes ain't no good
They left the corners, threw away all of their switchblade knives
And kissed each other goodbye
Johnny was sittin' on the fire escape, watchin' the kids playin' down the street
He called down, hey little heroes, summer's long, but I guess it ain't very sweet around here anymore
Janey sleeps in sheets damp with sweat
Johnny sits up alone and watches her dream on, dream on
And the sister prays for lost souls, then breaks down in the chapel after everyone's gone
Jane moves over to share her pillow but opens her eyes to see Johnny up and putting his clothes on
She says, those romantic young boys (those romantic young boys), all they ever want to do is fight
Those romantic young boys (those romantic young boys), they're callin' through the window
Hey, Spanish Johnny, you want to make a little easy money tonight?
And Johnny whispered, goodnight, it's all tight, Jane
I'll meet you tomorrow night on lover's lane
We may find it out on the street tonight, now, baby
Or we may walk until the daylight, maybe
Oh, goodnight, it's alright, Jane
I'm gonna meet you tomorrow night on lover's lane
Oh, we can find it out on the street tonight, baby
Or we may walk until the daylight, maybe
Ah, goodnight, it's alright, Jane
I'll meet you tomorrow night on lover's lane
Oh, we may find it out on the street tonight, baby
Or we may have to walk until the daylight, maybe (goodnight it's alright, Jane)
(Goodnight, it's alright, Jane)
(Goodnight, it's alright, Jane)
(Goodnight, it's alright, Jane)",,
bruce springsteen,sherry darling,"Your Mamma's yappin' in the back seat
Tell her to push over and move them big feet
Every Monday morning I gotta drive her down to the unemployment agency
Well this morning I ain't fighting tell her I give up
Tell her she wins if she'll just shut up
But it's the last time that she's gonna be ridin' with me
You can tell her there's a hot sun beatin' on the black top
She keeps talkin' she'll be walkin' that last block
She can take a subway back to the ghetto tonight
Well I got some beer and the highway's free
And I got you, and baby you've got me
Hey, hey, hey what you say Sherry Darlin'
Now there's girls melting on the beach
And they're so fine but so out of reach
'Cause I'm stuck in traffic down here on fifty third street
Now Sherry my love for you is real
But I didn't count on this package deal
And baby this car just ain't big enough for her and me
So you can tell her there's a hot sun beatin' on the black top
She keeps talkin' she'll be walkin' that last block
She can take a subway back to the ghetto tonight
Well I got some beer and the highway's free
And I got you, and baby you've got me
Hey, hey, hey what you say Sherry Darlin'",,
bruce springsteen,buffalo gals,"As I was walking down the street
Down the street, down the street
A pretty girl I chanced to meet
And we danced by the light of the moon
Buffalo gals won't you come out tonight
Come out tonight come out tonight
Buffalo gals won't you come out tonight
And we'll dance by the light of the moon
I danced with a gal with a hole in her stocking
And he knees was a-knockin' and her shoes was a'rockin'
I danced with a gal with a hole in her stocking
And we danced by the light of the moon
Buffalo gals won't you come out tonight
Come out tonight come out tonight
Buffalo gals won't you come out tonight
And we'll dance by the light of the moon",,
black 47,blood wedding,"Carlita is waiting down on see & 9th
In mantilla and lace And her lover's knife
Cries out for revenge But she is silent like a stone
And beautiful in her widow's weeds I wait in the darkness
Forever now alone
Too late for any tear shedding
While his bride waits down on see & 9th For her blood wedding
Why did you have to go out tonight
With the full moon in scarlet
And his silver knife Waiting for you
And the remains of your life
Ticking away like some pitiful clock
And I who could not even be called your wife
Safe and warm in your bedding
And you the bridegroom off on your way
To your blood wedding
And the Ukrainian ladies
Light candles in the street
Where his body lay bleeding
And the projects are silent
Bracing for the heat
That must come from his blood wedding
Carlita why do you hate me so much I long for your body I die for your touch On my burning skin
And the smell of your perfume Will always remain on my bed
But I died every time You entered his room I could not let him go on living And now you wait down on see & 9th
Dying to celebrate my blood wedding I wait in the shadows of see & 9th
With my fingers caressing
His sacred knife You loved my body
But he loved my soul
You thought you knew me
But what do men know
Except my lover whose shape is etched in chalk on the street
Soon to be washed away by the rain
While you wait in the darkness dreading
The shock of my knife
At your blood wedding",,
black 47,brooklyn girls,"Standing in your hallway, kiss your angel hair
Hear your old grandmother recite her immigrant prayer
She knew what you had to do, she'd probably kill you first, first
But hold on, darlin', this time tomorrow, you'll be over the worst
Brooklyn girls just break your heart
Then they watch you fall apart with their incredible eyes
Moistened by the goodbyes
'Til I forget all I ever learned about those crazy Brooklyn girls
Now I'm on the sidewalk, night lights up your room
Go down to the Narrows, watch the raging moon
Beam down on Staten Island with its unforgiving sheen
And I'd give everything not to hemorrhage all of your dreams
Brooklyn girls just break your heart
Then they watch you fall apart with their incredible eyes
Moistened by the goodbyes
'Til I forget all I ever learned about those crazy Brooklyn girls
Hey, Brooklyn girl, hey, Brooklyn girl
What you gonna do, Brooklyn girl
[Incomprehensible], it's all upto you
So what you gonna do, Brooklyn girl
What you gonna do?
Verazanno hangs like a string of pearls in the night, I'd steal them for you
Wear them tomorrow, make everything be alright
Brooklyn girls just break your heart
Then they watch you fall apart with their incredible eyes
Moistened by the goodbyes
'Til I forget all I ever learned about those crazy
Brooklyn girls just break your heart
Then they watch you fall apart with their incredible eyes
Moistened by the goodbyes
'Til I forget all I ever learned about those crazy
Brooklyn girls just break your heart",,
charlie daniels band,dixie on my mind,"It rained all night in Frisco and my sleeping bag got soaked
I woke up this morning, I was cold and wet and broke
I lit up my last cigarette at the California line
But I got Dixie on my mind
I flagged down a semi going into Denver town
It was snowing in them Rockies and he had to shut her down
And them Colorado Rocky Mountains sure are lookin' fine
But I got Dixie on my mind
Well, I got me a ride through Texas on a flat bed diesel truck
He said, 'Where are you going?', I said 'It don't matter much'
Just drop me anywhere below that Mason Dixon Line
'Cause I got Dixie on my mind
I love that sippin' whiskey, Carolina Mountain Dew
And them Alabama hotcakes and that Georgia burnin' stew
I'm crazy about magnolia trees and honeysuckle vines
And I got Dixie on my mind",,
charlie daniels band,a day in the life,"It was just another day in the life of planet earth
Twenty-four more hours going by
Traffic was heavy and there was a little rain
Babies were born and people died
Up in Alaska it was thirty-one below
Down in Miami it was hot
Honky tonks were crowded and the people partied on
In church a couple tied the knot
The headlines screamed about the rapid spread of AIDS
Famine and war were in the news
An earthquake shook some far off corner of the world
Another child had been abused
Then something happened in the twinkling of an eye
Some watched in horror as a plane fell from the sky
Trains ran wild and cars were crashing there were ships without a captain
Millions of people had just vanished from the earth
Panic and confusion were the order of the day
Grown men were weeping and some people tried to pray
A mocking echo in the madness seemed to say it's too late
And then a stranger stepped on to the TV screen
He said don't worry I'm the one
Who will bring peace to every corner of this earth
And now the world shall be as one
All kings and governments will give their power to me
I'll put a mark in your right hand
For three and one-half years the whole world was at peace
Then darkness fell upon the land
He went into the temple in Jerusalem one day
He said I'm God you all must bow
To the valley of Megiddo came the armies of the world
It looked as though the end was coming now
Then something happened in the twinklin' of an eye
A mighty trumpet blast and in the eastern sky
Came Jesus on a snow white horse leadin' heaven's shining forces
This is the hour of the final victory
The ones who wore the mark were shoutin' Satan you're a liar
As angels bound him up and threw him in the lake of fire
Praises to God's name were ringing all the saints were singing
Hallelujah hallelujah
(Hallelujah hallelujah hallelujah hallelujah hallelujah hallelujah
Hallelujah hallelujah hallelujah hallelujah hallelujah hallelujah)",,
bon jovi,harlem rain,"R.sambora
The old man down on the corner
Is downing in his pain
I can see the sorrow in his eyes
His tears, the leave a stain
The streets have left him broken
He's in the final phase
It's been a long hard road
From his glory days.
There's a tatoo of his sweetheart
Fading on his arm
He talks of painful tragedy
How he lost his lucky charm
His memory is clouded
From the thunder in this vein
He's vanishing, vanishing gone
In the harlem rain.
Harlem rain coming down
Another shattered soul
In the lost and found
One more night
On the street of pain
Getting washed away by the harlem rain.
On desperation avenue
The devil takes his toll
Where the pushers and the poverty
Slowly claim your soul
When you reached the realization
That you just can't break the chain, no
You're vanishing, vanishing gone
In the harlem rain.
Harlem rain coming down
Another shattered soul
In the lost and found
One more night
On the street of pain
Getting washed away by the harlem rain (harlem rain).
In your seach for tender mercy
No one seemed to care
The faith that used to be your crutch
Is now your cross to bear
You last yourself so long ago
You don't know who to blame
You're vanishing, vanishing gone
Vanishing, vanishing gone
Vanishing, vanishing gone
In the harlem rain.",,
doris day,lullaby of broadway,"Come on along and listen to
The lullaby of Broadway
The hip hooray and ballyhoo
The lullaby of Broadway
The rumble of a subway train
The rattle of the taxis
The daffodils who entertain
At Angelo's and Maxi's
When a Broadway baby says good night
It's early in the morning
Manhattan babies don't sleep tight
Until the dawn
Good night, baby
Good night, the milkman's on his way
Sleep tight, baby
Sleep tight, let's call it a day
Hey
The band begins to go to town
And everyone goes crazy
You rock a bye your baby round
'Til everything gets hazy
Hush a bye, I'll buy you this and that
You hear a daddy saying
And baby goes home to her flat
To sleep all day
Good night, baby
Good night, the milkman's on his way
Sleep tight, baby
Sleep tight, let's call it a day
Listen to the lullaby
Of old Broadway",,
doris day,silver bells,"City sidewalks, busy sidewalks
Dressed in holiday style
In the air there's a feeling of Christmas
Children laughing, people passing
Meeting smile after smile
And on every street corner you hear
Silver bells, silver bells
It's Christmas time in the city
Ring-a-ling, hear them ring
Soon it will be Christmas day
Strings of street lights, even stop lights
Blink a bright red and green
As the shoppers rush home with their treasures
Hear the snow crunch, see the kids bunch
This is Santa's big scene
And above all the bustle you hear
Silver bells, silver bells
It's Christmas time in the city
Ring-a-ling, hear them ring
Soon it will be Christmas day
Silver bells, silver bells
It's Christmas time in the city
Ring-a-ling, hear them ring
Soon it will be Christmas day
(Ding, dong, ding, dong, ding)",,
doris day,have yourself a merry little christmas,"Have yourself a merry little Christmas
Let your heart be light
From now on, our troubles will be out of sight
Have yourself a merry little Christmas
Make the Yuletide gay
From now on, our troubles will be miles away
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more
Through the years we all will be together
If the fates allow
So hang a shining star upon the highest bough
And have yourself a merry little Christmas now
Have yourself a merry little Christmas
Let your heart be light
From now on, our troubles will be out of sight
Have yourself a merry little Christmas
Make the Yuletide gay
From now on, our troubles will be miles away
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more
Through the years we all will be together
If the fates allow
So hang a shining star upon the highest bough
And have yourself a merry little Christmas now",,
billy idol,silver bells,"City sidewalks, busy sidewalks
Dressed in holiday style
In the air there's a feeling
Of Christmas
Children laughing, people passing
Meeting smile after smile
And on every street corner you'll hear
Silver bells, silver bells
It's Christmas time in the city
Ring-a-ling hear them ring
Soon it will be Christmas day
Strings of streetlights, even stoplights
Blink of bright red and green
As the shoppers rush home
With their treasures
Hear the snow crunch
See the kids bunch
This is Santa's big scene
And above all the bustle you'll hear
Silver bells, silver bells
It's Christmas time in the city
Ring-a-ling, hear them ring
Soon it will be Christmas day
Soon it will be Christmas day",,
billy idol,venus,"Aha aha
Aha aha
You know you, me, we are so lonely
You look to me I'll be there my only
'Cause you say you want me
More, more, more
And you say that you need me
It won't be long and I'll be holdin'
'Cause you say you want me
More, more, more
One touch of Venus
And she'll receive us
One touch of Venus
Yeah yeah
One touch of Venus
And she'll receive us
I said yeah yeah
I know we'll take a ride
We'll pass the stars and be home tonight
'Cause you, me, way above the stars, (stars)
We ain't dreamin'
And we're livin'
One touch of Venus
And she'll receive us
One touch of Venus
Mmm Yeah yeah
One touch of Venus
And she'll receive us
I said yeah yeah
Ain't I got the might
Ain't I got the right
Unh, huh for a touch of Venus
Aha aha
You me we ain't so far from home
You me we ain't got far to go
You me here above the stars
One touch of Venus
And she'll receive us
One touch of Venus
Mmm Yeah yeah
One touch of Venus
And she'll receive us
One touch of Venus
Mmm yeah yeah
One touch of Venus
And she'll receive us
I said yeah yeah
Way above the stars
Ain't I got the right
For a touch of Venus
Ain't I got the right
For a touch of Venus",,
billy idol,hot in the city,"Stranger, stranger, stranger, stranger
It's hot here at night, lonely, black and quiet
On a hot summer night
Don't be afraid of the world we made
On a hot summer night
Cause when a long-legged lovely walks by
Yeah you can see the look in her eye
Then you know that it's
Hot in the city, hot in the city tonight, tonight
Hot in the city, hot in the city tonight, tonight
Stranger, stranger
For all the dreams and schemes, people are as they seem
On a hot summer night
Don't be no fun, don't forget you're young
On a hot summer night
A sometime someone you're not
Don't wait to see what you got
Cause you know that you're
We'll walk until my feet drop
I'm a train when I'm hateful
Yeah, lay right down now
And ride until your head breaks
I'm a-walking till my brain pops
I will move with the beat now
I'm a chain 'round an A-bomb
I'm a ribbon in the heat now
New York!
",,
fannypack,seven one eight,"Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
BK is you wit me New York City
Everywhere else you can suck up my titties
Eat a Big Mac and go to hell
In an old bucket fuck it yo it ain't hard to tell
That we got this party on smash
Now we gonna put you on blast
Written in my shit list you dead last
Face look like you did a hundred yard dash
In a 90 yard gym you look busted
Bootleg tap a keg spread it like mustard
On my buns always fun
Got other girls out on the run
Scared and they lookin' like they saw a gun
Maybe they did they boyfriend's crib
That's where I woke up this morning
'Cause he said that you boring
Don't like him anyway he was snoring
You can have his ass back while I'm out touring
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Yo Brooklyn, yo Bronx, Manhattan, yo Queens
Staten Island, yo Jersey and everywhere in between yo
Holla if you broke or an English bloke
And if you know what I mean seen
Baseball bat in the back seat
Of Matt's black car and I travel far
Much further than you witcha Metro Card
Betcho ass is on welfare
That's okay so am I, psyche
Still gonna put my thing down tonight
One time for your mind five of a kind
Look at all the people look how they lined up
At the door they want more
I bring grams to the crackers like s'mores
Say oh no, say hell yeah, oh no, hell yeah
Now bust shots in the air
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
Brooklyn, from the seven one eight it goes
I got a big ass wad of nothing in my pockets
Still my fans get me high like rockets
At the show here we go
Backstage underage and I drink it slow
Oh my God what's the matter?
We get hot sex served on a platter
Nick nack paddy wack givin' Matt a boner
So much paper but we ain't stoners
Go'n get wild for the night
Don't act like a child tonight yo
Fancy got me dancin', you take off your pants and
You get rude in your underoos
So so moved by my rap haikus
Yo what the fuck is wrong with you?
What the fuck you think we came here to do huh?
Shake yo shit shake yo shit
Do it, do it like this, can you handle it?",,
glee,danger zone,"Shaking off the tresholds of a long forgotten dream
And you just can't make it last
Coaching paradise on a personal line
But you get fired to fast
And you lie, memories drifting by
Love don't make it on those pin-striped nights
When you're looking through someone's disguise
You can't make it alone, so you gotta make a move
But you're looking at nobody's eyes
Well that's love, or maybe love come and go
Looking for love is a danger zone
Love don't go begging in the danger zone
You won't get nothing from the danger zone
Tales that you tell from the stories that you'll hear
And you'll get what you can while you may
Don't understand when you're looking for a dame
But it's only a heartbreak away
And you'll learn, faking has no return
No way when you're feeling that way
Will your feet get caught up in the crowd
And the song that you sing is too soft to be heard
But your speakers are way too loud
Like the pain, loving is no big game
Looking for love is a danger zone
No don't go living in the danger zone
You won't get nothing from the danger zone
Don't take no chances in the danger zone
Love don't go begging in the danger zone
No don't go living in the danger zone
You won't get nothing from the danger zone
Don't take no chances in the danger zone
Love don't go begging in the danger zone",,
glee,empire state of mind,"Yeah I'm out that Brooklyn, now I'm down in Tribeca
Right next to Deniro, but I'll be hood forever
I'm the new Sinatra, and since I made it here
I can make it anywhere, yeah they love me everywhere
I used to cop in Harlem, all of my Dominicano's
Right there up on Broadway, pull me back to that McDonald's
Took it to my stash box, five sixty State Street
Catch me in the kitchen like a Simmons with them pastries
Cruisin' down eighth Street, off white Lexus
Drivin' so slow, but B.K. is from Texas
Me, I'm out that Bed-Stuy, home of that boy Biggie
Now I live on billboard and I brought my boys with me
Say whatup to Ty-Ty, still sippin' mai tai's
Sittin' courtside, Knicks and Nets give me high five
Jigga I be Spike'd out, I could trip a referee
Tell by my attitude that I'm most definitely from
New York
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York (New York!)
These streets will make you feel brand new
Big lights will inspire you
Let's hear it for New York, New York, New York
Catch me at the X with O.G. at a Yankee game
Dude I made the Yankee hat more famous then a Yankee can
You should know I bleed blue, but I ain't a Crip though
But I got a gang of brothers walkin' with my clique though
Welcome to the melting pot, corners where we sellin' rock
Africa Bambata home of the hip-hop
Yellow cab, gypsy cab, dollar cab, holla back
For foreigners it ain't for they act like they forgot how to act
Eight million stories, out there in it naked
City is a pity, half of y'all won't make it
Me, I got a plug, Special Ed 'I Got It Made'
If Jesus payin' Lebron, I'm payin' Dwayne Wade
Three dice Cee-lo, three card molly
Labor Day Parade, rest in peace Bob Marley
Statue of Liberty, long live the World Trade
Long live the Kingdom, I'm from the Empire State that's
New York
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
These streets will make you feel brand new
Big lights will inspire you
Let's hear it for New York, New York, New York
Lights is blinding, girls need blinders
So they can step out of bounds quick
The sidelines is, lined with casualties, who sip to life casually
Then gradually become worse, don't bite the apple leaf
Caught up in the in-crowd, now you're in style
End of the winter gets cold, en vogue, with your skin out
City of sin, it's a pity on the wind
Good girls gone bad, the city's filled with them
Mommy took a bus trip, now she got her bust out
Everybody ride her, just like a bus route
Hail Mary to the city, you're a virgin
And Jesus can't save you, life starts when the church end
Came here for school, graduated to the high life
Ball players, rap stars, addicted to the limelight
M.D.M.A. got you feelin' like a champion
The city never sleeps, better slip you an Ambien
New York
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
These streets will make you feel brand new
Big lights will inspire you
Let's hear it for New York, New York,
New York
One hand in the air for the big city
Streetlights, big dreams, all lookin' pretty
No place in the world that could compare
Put your lighters in the air
Everybody say 'Yeah, Yeah, Yeah, Yeah'
New York
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
These streets will make you feel brand new
Big lights will inspire you
Let's hear it for New York, New York, New York",,
glee,glory days,"Yeah, c'mon, hoo!
I had a friend was a big baseball player
Back in high school
He could throw that speed ball by you
Make you look like a fool boy
Saw him the other night at this roadside bar
I was walking in, he was walking out
We went back inside sat down had a few drinks
But all he kept talking about was
Glory days well they'll pass you by
Glory days in the wink of a young girl's eye
Glory days, glory days, yeah
Well there's a girl that lives up the block
Back in school she could turn all the boy's heads
Sometimes on a Friday I'll stop by
And have a few drinks after she put her kids to bed
Her and her husband Bobby well they split up
I guess it's two years gone by now
We just sit around talking about the old times,
She says when she feels like crying
She starts laughing thinking about
Glory days well they'll pass you by
Glory days in the wink of a young girl's eye
Glory days, glory days, yeah
All right boy watch me working now! (Working now)
Think I'm going down to the well tonight
Well now I'm going to drink till I get my fill
And I hope when I get old I don't sit around thinking about it
But I probably will
Yeah, just sitting back trying to recapture
Little of the glory of, well time slips away
And leaves you with nothing mister but
Boring stories of
Glory days well they'll pass you by
Glory days in the wink of a young girl's eye
Glory days, glory days
Glory days well they'll pass you by
Glory days in the wink of a young girl's eye
Glory days, glory days
What about this!
All right!
Ooh yeah
All right!
All right!
Woah, c'mon now
Oh yeah
All right!
It's alright
Ooh yeah
Oh yeah
All right!
All right!
C'mon now
Oh yeah
All right boys!
Keep rockin' now!
Glory days!",,
